+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                10 |  1 |   RUNNING |   WAITING |
|                10 |  2 |     READY |   RUNNING |
|                20 |  2 |   RUNNING |   WAITING |
|                20 |  3 |     READY |   RUNNING |
|                25 |  1 |   WAITING |     READY |
|                25 |  3 |   RUNNING |     READY |
|                25 |  1 |     READY |   RUNNING |
|                35 |  2 |   WAITING |     READY |
|                35 |  1 |   RUNNING |   WAITING |
|                35 |  2 |     READY |   RUNNING |
|                45 |  2 |   RUNNING |   WAITING |
|                45 |  3 |     READY |   RUNNING |
|                50 |  1 |   WAITING |     READY |
|                50 |  3 |   RUNNING |   WAITING |
|                50 |  1 |     READY |   RUNNING |
|                60 |  2 |   WAITING |     READY |
|                60 |  1 |   RUNNING |   WAITING |
|                60 |  2 |     READY |   RUNNING |
|                65 |  3 |   WAITING |     READY |
|                70 |  2 |   RUNNING |   WAITING |
|                70 |  3 |     READY |   RUNNING |
|                75 |  1 |   WAITING |     READY |
|                75 |  3 |   RUNNING |     READY |
|                75 |  1 |     READY |   RUNNING |
|                85 |  2 |   WAITING |     READY |
|                85 |  1 |   RUNNING |TERMINATED |
|                85 |  2 |     READY |   RUNNING |
|                95 |  2 |   RUNNING |TERMINATED |
|                95 |  3 |     READY |   RUNNING |
|               100 |  3 |   RUNNING |   WAITING |
|               115 |  3 |   WAITING |     READY |
|               115 |  3 |     READY |   RUNNING |
|               125 |  3 |   RUNNING |   WAITING |
|               140 |  3 |   WAITING |     READY |
|               140 |  3 |     READY |   RUNNING |
|               150 |  3 |   RUNNING |TERMINATED |
+------------------------------------------------+
